Category,Value,Department,Staff Count
About Us,NAAC SSR 2024,,
About Us,━  Faculty of Indian Languages,,
About Us,━   Department of Journalism And Mass Communication,,
About Us,NAAC Cycle 2,,
About Us,Policies,,
About Us,"━ Department of Oriental Studies, Religious Studies and Philosophy",,
About Us,━  Department of Vedic Studies and Sanskrit,,
About Us,Frequently Asked Questions (FAQ’s),,
About Us,NAD CELL,,
About Us,Syllabus,,
About Us,Erasmus+,,
About Us,NIRF DSR,,
About Us,Website Policies,,
About Us,Centers,,
About Us,━  Faculty of Communication,,
About Us,━  Department of Yogic Science and Human Consciousness,,
About Us,CONTACT INFORMATION,,
About Us,━  Faculty of Foundation Courses,,
About Us,– Exam Results,,
About Us,Internal Quality Assurance Cell (IQAC),,
About Us,Study In India,,
About Us,Academic Calendar,,
About Us,For Indian Candidates,,
About Us,NAAC SSR,,
About Us,Copyright © 2002-2023 Dev Sanskriti Vishwavidyalaya All Rights Reserved.,,
About Us,VISION,,
About Us,━   Department of Tourism Management,,
About Us,For International Candidates,,
About Us,Life at DSVV,,
About Us,Collaborations,,
About Us,DSVV Publications,,
About Us,NEWS,,
About Us,━  Department of Complimentary and Alternative Medicines,,
About Us,Unnat Bharat Abhiyan - UBA,,
About Us,IRO Home,,
About Us,LIST OF SCHOOLS,,
About Us,2. To liaise with internal departments for proper functioning,,
About Us,Privacy,,
About Us,"DEV SANSKRITI VISHWAVIDYALAYAGayatrikunj – Shantikunj, Haridwar- 249411 Uttarakhand, INDIA.",,
About Us,– Internship,,
About Us,NAAC,,
About Us,The centre facilitates Exchange of Students/Faculty members with foreign universities.,,
About Us,"Department of Career Support, Guidance and Progression (CSGP)",,
About Us,━   Department of Animation And Visual Effects,,
About Us,OFF CAMPUS NEWS,,
About Us,"Academics        HIGHLIGHTS                Library     Training & Placement     Internship     Dean Of Schools     Research Papers     Academic Calendar     Evaluation System     Faculty Development Program     Schools, Faculties & Departments     Internal Quality Assurance Cell (IQAC)     Syllabus            LIST OF SCHOOLS                    School of Indology  ━  Faculty of Yoga & Health━  Faculty of Indian Languages━  Faculty of Music & Indian Culture        School of Humanities, Social Sciences and Foundation Courses  ━  Faculty of Humanities & Social Sciences━  Faculty of Foundation Courses         School of Technology, Communication and Management   ━  Faculty of Technology & Management━  Faculty of Communication        School of Biological Sciences and Sustainability   ━  Faculty of Biological Sciences━  Faculty of Rural Studies and Sustainability       Department of Career Support, Guidance and Progression (CSGP)         							LIST OF FACULTIES						                   Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music        Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects        Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Philosophy, Religious Studies and Divinity━   Department of Scientific Spirituality        Faculty of Biological Sciences  ━   Department of Environmental Sciences━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability           							IMPORTANT LINKS						               NEP 2020     NAD Cell     National Academic Depository (NAD)     AQAR 2018-19     NAAC      NAAC SSR     NIRF DSR     NCTE official Website     Regional Office (NCTE)     Website Policies     Nodal Officer for SWAYAM                    Students Corner         Student Services             – Library– Academic calendar– Syllabus– Training & Placement– Internship– Yugrishi Student Portal– Club Registration– INTERNSHIP @DSVV                Exam Cell            – Evaluation System– Exam Results– Exam Schedule– Back Exam Schedule             – Library     – Academic calendar     – Syllabus     – Training & Placement     – Internship     – Yugrishi Student Portal     – Club Registration     – INTERNSHIP @DSVV         List of Schools         School of Biological Sciences and Sustainability                  Faculty of Biological Sciences  ━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability          School of Humanities, Social Sciences and Foundation Courses                 Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Oriental Studies, Religious Studies and Philosophy━   Department of Scientific Spirituality          School of Indology                 Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music          School of Technology, Communication and Management                  Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects                Important Links     Nodal Officer for SWAYAM     Faculty Development Program",,
About Us,ALUMNI,,
About Us,AQAR,,
About Us,━   Department of Environmental Sciences,,
About Us,"There is need for an educational institution which could mould its students into noble and enlightened human beings: selfless, warm-hearted, compassionate and kind.",,
About Us,6. To coordinate and facilitate students and staff mobilities,,
About Us,NCTE official Website,,
About Us,CAMPUS NEWS,,
About Us,━  Department of Indian Classical Music,,
About Us,Apply Now,,
About Us,International Relations Office is focused to share the spiritual and cultural essence of Dev Sanskriti University to all the global aspirants. The IRO focuses to present the model of an existing educational institute which facilitates the holistic development of a human being imbibing the virtues of humanity along with the world class education.,,
About Us,━   Department of Mathematics,,
About Us,VISION & MISSION,,
About Us,Courses,,
About Us,NCTE OFFICIAL WEBSITE,,
About Us,━  Faculty of Biological Sciences,,
About Us,━  Faculty of Technology & Management,,
About Us,Rules & Regulations,,
About Us,– Academic calendar,,
About Us,NAD Cell,,
About Us,IQAC CELL,,
About Us,– Yugrishi Student Portal,,
About Us,PATRON FOUNDER,,
About Us,NAAC            NAAC Cycle 2         NAAC SSR 2024         IQAC CELL         AQAR,,
About Us,━   Department of Computer Science,,
About Us,Training & Placement,,
About Us,AQAR 2018-19,,
About Us,━   Department of Scientific Spirituality,,
About Us,"3. To organize various international workshops, seminars, conferences",,
About Us,━   Department of Life Management,,
About Us,━  Faculty of Humanities & Social Sciences,,
About Us,NIRF 2024,,
About Us,– INTERNSHIP @DSVV,,
About Us,NEP 2020,,
About Us,How To Apply?,,
About Us,SHANTIKUNJ - THE PARENT INSTITUTION,,
